Wall time,Step,Value
1557322259.4680495,1536,0.453125
1557322265.4428642,3072,0.703125
1557322267.4782028,3392,0.6306014060974121
1557322273.0691838,4608,0.65625
1557322280.2795284,6144,0.765625
1557322283.8453934,6784,0.7337853908538818
1557322289.646992,7680,0.859375
1557322297.365679,9216,0.59375
1557322301.7874527,10176,0.7647405862808228
1557322305.3855731,10752,0.6875
1557322312.2156208,12288,0.90625
1557322318.1619015,13568,0.8169221878051758
1557322320.1694083,13824,0.796875
1557322327.9147685,15360,0.84375
1557322335.653343,16896,0.921875
1557322336.2492547,16960,0.8307783007621765
1557322347.0882676,18432,0.796875
1557322353.098436,19968,0.78125
1557322354.6841447,20352,0.8720518946647644
1557322360.1574762,21504,0.890625
1557322365.8279364,23040,0.765625
1557322368.472848,23744,0.8773584961891174
1557322372.318061,24576,0.828125
1557322377.8981876,26112,0.890625
1557322382.1482408,27136,0.8991745114326477
1557322384.9026093,27648,0.9375
1557322390.6186626,29184,0.9375
1557322396.3915315,30528,0.9248231053352356
1557322398.2745125,30720,0.96875
1557322406.6419973,32256,0.90625
1557322412.1352744,33792,0.984375
1557322412.7653604,33920,0.9575471878051758
1557322419.0957608,35328,0.96875
1557322426.4953513,36864,0.953125
1557322428.754981,37312,0.9658018946647644
1557322434.2255921,38400,0.953125
1557322439.7837386,39936,0.984375
1557322442.7989602,40704,0.9778891801834106
1557322446.4461772,41472,0.984375
1557322452.9125323,43008,0.984375
1557322457.3054903,44096,0.9820165038108826
1557322459.6786366,44544,1.0
1557322465.73824,46080,0.984375
1557322472.9442515,47488,0.9885023832321167
1557322474.5103319,47616,1.0
1557322484.8602364,49152,1.0
1557322491.2855,50688,1.0
1557322492.2989647,50880,0.9964622855186462
1557322498.3586555,52224,1.0
1557322504.0192928,53760,1.0
1557322505.9758506,54272,0.9994103908538818
1557322510.1288686,55296,1.0
1557322515.6083646,56832,1.0
1557322518.745739,57664,0.9991155862808228
1557322522.3436291,58368,1.0
1557322527.775717,59904,1.0
1557322532.043167,61056,0.9994103908538818
1557322534.0984051,61440,1.0
1557322539.3788805,62976,1.0
1557322544.9604251,64448,0.9997051954269409
1557322545.1923993,64512,1.0
1557322551.850372,66048,1.0
1557322557.3902566,67584,1.0
1557322558.5747159,67840,1.0
1557322564.0892804,69120,1.0
1557322569.7691584,70656,1.0
1557322572.016694,71232,1.0
1557322576.4369895,72192,1.0
1557322582.1662154,73728,1.0
1557322585.7695913,74624,1.0
1557322590.0105562,75264,1.0
1557322596.7456772,76800,1.0
1557322601.2222881,78016,1.0
1557322603.0957313,78336,1.0
1557322608.4557621,79872,1.0
1557322613.8883555,81408,1.0
1557322614.0969844,81408,1.0
1557322622.2506208,82944,1.0
1557322628.7139523,84480,1.0
1557322630.6205513,84800,1.0
1557322637.6870522,86016,1.0
1557322645.3504167,87552,1.0
1557322648.6655605,88192,1.0
1557322653.1153545,89088,1.0
1557322658.8453832,90624,1.0
1557322662.8287077,91584,1.0
1557322665.7456546,92160,1.0
1557322671.4214506,93696,1.0
1557322676.1431923,94976,1.0
1557322677.8941677,95232,1.0
1557322684.2985458,96768,1.0
1557322689.648868,98304,1.0
1557322690.0634549,98368,1.0
1557322696.0164647,99840,1.0
1557322701.3640916,101376,1.0
1557322702.8735173,101760,1.0
1557322707.9104257,102912,1.0
1557322713.2203333,104448,1.0
1557322715.8240755,105152,1.0
1557322719.3953776,105984,1.0
1557322724.725429,107520,1.0
1557322728.596132,108544,1.0
1557322731.095742,109056,1.0
1557322736.704671,110592,1.0
1557322742.0865958,111936,1.0
1557322743.216865,112128,1.0
1557322748.9552164,113664,1.0
1557322754.6115959,115200,1.0
1557322755.2663567,115328,1.0
1557322761.1663103,116736,1.0
1557322766.8247237,118272,1.0
1557322768.6838126,118720,1.0
1557322773.835047,119808,1.0
1557322779.835666,121344,0.8125
1557322783.0456014,122112,0.9357311129570007
1557322786.901829,122880,0.96875
1557322792.8355706,124416,0.953125
1557322797.4990041,125504,0.9204009175300598
1557322800.0782733,125952,0.96875
1557322805.909242,127488,1.0
1557322811.3244846,128896,0.9749410152435303
1557322812.0016732,129024,1.0
1557322817.9577348,130560,1.0
1557322823.1377892,132096,1.0
1557322823.976486,132288,0.9941037893295288
1557322829.2706707,133632,1.0
1557322835.2411816,135168,1.0
1557322837.1410897,135680,0.9973466992378235
1557322841.4278944,136704,1.0
1557322846.6612136,138240,1.0
1557322849.6122873,139072,0.9997051954269409
1557322852.6910582,139776,1.0
1557322857.7411494,141312,1.0
1557322861.7028718,142464,0.9994103908538818
1557322863.6815953,142848,1.0
1557322868.779372,144384,1.0
1557322873.797036,145856,0.9997051954269409
1557322873.959602,145920,1.0
1557322879.7220612,147456,1.0
1557322884.7681937,148992,1.0
1557322885.8243704,149248,0.9991155862808228
1557322890.7346363,150528,1.0
1557322895.8090715,152064,1.0
1557322897.8971732,152640,1.0
1557322901.679609,153600,1.0
1557322906.701187,155136,1.0
1557322909.8697164,156032,1.0
1557322912.6521854,156672,1.0
1557322917.707718,158208,1.0
1557322921.8745785,159424,1.0
