Wall time,Step,Value
1557323656.3062387,1536,0.5
1557323663.8926458,3072,0.8125
1557323665.6856828,3392,0.5952240824699402
1557323673.2456074,4608,0.671875
1557323679.2767048,6144,0.609375
1557323681.9925456,6784,0.6765919923782349
1557323686.2515457,7680,0.84375
1557323692.289231,9216,0.6875
1557323696.1728852,10176,0.7231721878051758
1557323699.2768936,10752,0.6875
1557323706.5276206,12288,0.765625
1557323711.0808094,13568,0.7373231053352356
1557323712.6221201,13824,0.671875
1557323717.765291,15360,0.578125
1557323723.0851097,16896,0.796875
1557323723.4341786,16960,0.7455778121948242
1557323729.5577455,18432,0.734375
1557323734.483457,19968,0.75
1557323735.7900326,20352,0.7591391801834106
1557323740.032507,21504,0.84375
1557323744.6461403,23040,0.78125
1557323747.5580773,23744,0.7641509175300598
1557323751.7589557,24576,0.609375
1557323757.989437,26112,0.75
1557323762.0050538,27136,0.7827240824699402
1557323764.7915397,27648,0.796875
1557323770.552195,29184,0.765625
1557323775.9681692,30528,0.7959905862808228
1557323777.2993524,30720,0.828125
1557323784.030847,32256,0.71875
1557323790.0707583,33792,0.859375
1557323790.7099643,33920,0.8195754885673523
1557323796.3275166,35328,0.859375
1557323801.2912366,36864,0.75
1557323803.1394358,37312,0.8239976167678833
1557323808.1519616,38400,0.8125
1557323813.2708204,39936,0.890625
1557323815.7284384,40704,0.8210495114326477
1557323818.9115925,41472,0.875
1557323824.9129672,43008,0.765625
1557323828.6283064,44096,0.8390330076217651
1557323830.7928085,44544,0.859375
1557323835.7522254,46080,0.8125
1557323840.3324282,47488,0.8484669923782349
1557323841.0183866,47616,0.890625
1557323846.9028695,49152,0.90625
1557323852.2084227,50688,0.796875
1557323852.9785233,50880,0.8806014060974121
1557323858.01035,52224,0.953125
1557323862.6329827,53760,0.84375
1557323864.448381,54272,0.875
1557323868.1742697,55296,0.765625
1557323872.9885519,56832,0.875
1557323875.7083485,57664,0.8773584961891174
1557323878.8034267,58368,0.890625
1557323883.6104283,59904,0.890625
1557323887.41377,61056,0.8950471878051758
1557323889.3100874,61440,0.8125
1557323894.2832608,62976,0.96875
1557323898.9982877,64448,0.9059551954269409
1557323899.2725542,64512,0.9375
1557323905.424684,66048,0.890625
1557323910.268704,67584,0.953125
1557323911.2384095,67840,0.9035966992378235
1557323916.6491628,69120,0.890625
1557323921.8268056,70656,0.984375
1557323924.0182798,71232,0.9215801954269409
1557323928.0187404,72192,0.953125
1557323932.8941264,73728,0.96875
1557323935.9262211,74624,0.9366155862808228
1557323939.034506,75264,0.953125
1557323944.123848,76800,0.984375
1557323948.3737981,78016,0.9445754885673523
1557323950.4506855,78336,0.96875
1557323955.8901129,79872,0.9375
1557323961.0633814,81408,0.921875
1557323961.197988,81408,0.9377948045730591
1557323967.3218353,82944,0.96875
1557323972.9492106,84480,0.90625
1557323974.2929273,84800,0.9363207817077637
1557323980.2835143,86016,0.984375
1557323984.9572892,87552,0.953125
1557323987.1188273,88192,0.958136796951294
1557323991.0850914,89088,0.96875
1557323996.5239773,90624,0.96875
1557324000.6024024,91584,0.9528301954269409
1557324003.770298,92160,0.96875
1557324008.9502468,93696,0.984375
1557324013.4985719,94976,0.96875
1557324015.8095162,95232,0.984375
1557324021.9712508,96768,0.9375
1557324028.507457,98304,0.96875
1557324028.8884518,98368,0.9711084961891174
1557324035.9923735,99840,0.96875
1557324045.086821,101376,0.984375
1557324047.8903081,101760,0.9599056839942932
1557324054.1772091,102912,0.984375
1557324060.1837707,104448,0.9375
1557324062.5169516,105152,0.9693396091461182
1557324065.8993084,105984,0.9375
1557324071.15662,107520,1.0
1557324074.6867268,108544,0.9820165038108826
1557324077.2398884,109056,0.984375
1557324082.144879,110592,0.953125
1557324086.8246987,111936,0.9823113083839417
1557324088.0100095,112128,0.96875
1557324093.740258,113664,0.953125
1557324100.1774533,115200,0.9375
1557324100.8233733,115328,0.947818398475647
1557324106.8505704,116736,0.984375
1557324111.9880116,118272,0.96875
1557324113.6988683,118720,0.9775943160057068
1557324118.5311954,119808,0.96875
1557324124.2112854,121344,0.984375
1557324127.1684341,122112,0.9840801954269409
1557324130.678486,122880,0.984375
1557324135.8975716,124416,1.0
1557324139.5245178,125504,0.9876179099082947
1557324141.6756303,125952,1.0
1557324146.5476482,127488,1.0
1557324151.1853204,128896,0.9979363083839417
1557324152.0107305,129024,0.984375
1557324157.7594123,130560,1.0
1557324163.0168123,132096,1.0
1557324163.7468626,132288,0.9991155862808228
1557324169.101502,133632,1.0
1557324174.5137026,135168,1.0
1557324176.369021,135680,0.9991155862808228
1557324180.5855193,136704,1.0
1557324185.7051177,138240,1.0
1557324188.8162568,139072,0.9997051954269409
1557324192.3151848,139776,1.0
1557324197.735852,141312,1.0
1557324201.7167928,142464,0.9994103908538818
1557324203.8301177,142848,1.0
1557324208.954728,144384,1.0
1557324213.6765938,145856,1.0
1557324213.995844,145920,1.0
1557324219.494043,147456,1.0
1557324224.6988294,148992,1.0
1557324225.6623683,149248,0.9979363083839417
1557324230.5965278,150528,1.0
1557324235.7131155,152064,0.90625
1557324237.736653,152640,0.9675707817077637
1557324241.6435657,153600,0.875
1557324246.7476285,155136,0.96875
1557324249.867449,156032,0.9053655862808228
1557324252.8458211,156672,0.984375
1557324258.2270353,158208,1.0
1557324262.838468,159424,0.9731721878051758
1557324264.5894098,159744,0.984375
1557324270.091822,161280,1.0
1557324275.3493383,162816,1.0
1557324275.478992,162816,0.9917452931404114
1557324281.619959,164352,1.0
1557324286.4253578,165888,0.96875
1557324287.7296417,166208,0.9973466992378235
1557324292.515953,167424,1.0
1557324297.7737324,168960,1.0
1557324300.0352306,169600,0.9991155862808228
1557324303.8039553,170496,1.0
1557324309.4955735,172032,1.0
1557324312.9048722,172992,0.9991155862808228
1557324315.5950434,173568,1.0
1557324320.9633508,175104,1.0
1557324325.4124613,176384,0.9988207817077637
1557324326.7710311,176640,1.0
1557324331.8585522,178176,1.0
1557324336.7948616,179712,1.0
1557324337.1318445,179776,1.0
1557324342.4714627,181248,1.0
1557324347.4086244,182784,1.0
1557324348.7688735,183168,1.0
1557324353.3807817,184320,1.0
1557324358.4369454,185856,1.0
1557324360.8005028,186560,1.0
1557324364.4241378,187392,1.0
1557324370.0770679,188928,1.0
1557324373.6927722,189952,1.0
1557324376.0883071,190464,1.0
1557324381.3136468,192000,1.0
1557324385.9704664,193344,1.0
1557324387.0084105,193536,1.0
1557324392.0524373,195072,1.0
1557324398.2363002,196608,1.0
1557324399.0676324,196736,1.0
1557324407.762249,198144,1.0
1557324415.098399,199680,1.0
1557324416.677643,200128,1.0
1557324421.5784533,201216,1.0
1557324426.6888664,202752,1.0
1557324429.2637172,203520,1.0
1557324432.4448962,204288,1.0
1557324437.2733026,205824,1.0
1557324440.828791,206912,1.0
1557324442.955758,207360,1.0
1557324447.508399,208896,1.0
1557324453.0081584,210304,1.0
1557324453.8748417,210432,1.0
1557324461.4582558,211968,1.0
1557324468.1872845,213504,1.0
1557324469.189411,213696,1.0
1557324475.902617,215040,1.0
1557324482.409871,216576,1.0
1557324484.5759826,217088,1.0
1557324490.1689508,218112,1.0
1557324496.6353822,219648,1.0
1557324500.2616289,220480,1.0
1557324504.4089847,221184,1.0
1557324510.365002,222720,1.0
1557324514.092511,223872,1.0
1557324516.1476133,224256,1.0
1557324521.3475535,225792,1.0
1557324526.7211142,227264,1.0
1557324526.991858,227328,1.0
1557324532.5827768,228864,1.0
1557324537.523605,230400,1.0
1557324538.5024116,230656,1.0
1557324543.491313,231936,1.0
1557324548.5030837,233472,1.0
1557324550.5122554,234048,1.0
1557324554.387287,235008,1.0
1557324559.4177058,236544,1.0
1557324562.866791,237440,1.0
1557324565.781137,238080,1.0
1557324570.582913,239616,1.0
1557324574.7642257,240832,1.0
1557324576.61979,241152,1.0
1557324581.8886116,242688,1.0
1557324587.0643182,244224,0.890625
1557324587.2159345,244224,0.9607900977134705
1557324592.892734,245760,0.78125
1557324597.9090996,247296,0.984375
1557324599.0677886,247616,0.916568398475647
1557324603.7073843,248832,0.96875
1557324610.0990608,250368,0.96875
1557324612.2844803,251008,0.9684551954269409
1557324616.1830478,251904,1.0
1557324621.4574132,253440,1.0
1557324624.6680229,254400,0.9820165038108826
1557324627.2273712,254976,1.0
1557324632.5874374,256512,1.0
1557324636.9245005,257792,0.9964622855186462
1557324638.6860182,258048,1.0
1557324643.6693017,259584,1.0
1557324648.7163966,261120,1.0
1557324649.0554655,261184,0.9988207817077637
1557324654.4641395,262656,1.0
1557324659.893473,264192,1.0
1557324661.3668835,264576,0.9994103908538818
1557324666.1339958,265728,1.0
1557324671.2357082,267264,1.0
1557324673.6864562,267968,0.9994103908538818
1557324677.23659,268800,1.0
1557324682.3356335,270336,1.0
1557324685.6829588,271360,1.0
1557324687.973775,271872,1.0
1557324692.747759,273408,1.0
1557324697.410039,274752,1.0
1557324698.4760573,274944,1.0
1557324703.7481863,276480,1.0
1557324708.5078957,278016,1.0
1557324709.0304978,278144,1.0
1557324714.2983935,279552,1.0
1557324719.4285338,281088,1.0
1557324721.0613248,281536,1.0
1557324725.438604,282624,1.0
1557324730.4435678,284160,1.0
