Wall time,Step,Value
1557943311.419545,1536,0.421875
1557943320.1616428,3008,0.47074466943740845
1557943320.2194898,3072,0.5625
1557943328.2923892,4608,0.640625
1557943335.4299805,6016,0.7360372543334961
1557943335.970334,6144,0.796875
1557943343.2593129,7680,0.921875
1557943349.0677457,9024,0.839428186416626
1557943350.2954693,9216,0.640625
1557943356.4068503,10752,0.90625
1557943362.6896617,12032,0.8972739577293396
1557943364.6625013,12288,0.875
1557943375.7883718,13824,0.953125
1557943383.5281465,15040,0.9295212626457214
1557943386.3014572,15360,0.84375
1557943394.8934503,16896,0.875
1557943402.1768394,18048,0.9491356611251831
1557943405.5338452,18432,0.90625
1557943414.9673128,19968,0.96875
1557943422.3479168,21056,0.9760638475418091
1557943426.436791,21504,0.96875
1557943432.7541418,23040,1.0
1557943437.1878154,24064,0.9803856611251831
1557943440.2271788,24576,1.0
1557943446.1369565,26112,1.0
1557943450.839331,27072,0.9896941781044006
1557943454.4867845,27648,1.0
1557943460.0897734,29184,0.921875
1557943464.1866794,30080,0.985704779624939
1557943467.7523007,30720,0.984375
1557943473.5408425,32256,1.0
1557943478.725438,33088,0.9950132966041565
1557943482.3969336,33792,1.0
1557943488.2069957,35328,0.984375
1557943491.8570175,36096,0.9970079660415649
1557943496.3693197,36864,1.0
1557943502.226906,38400,1.0
1557943505.5094383,39104,0.9996675252914429
1557943509.809457,39936,1.0
1557943515.6470637,41472,1.0
1557943518.8767722,42112,1.0
1557943523.2171006,43008,1.0
1557943529.2268872,44544,0.984375
1557943532.0868158,45120,0.9990026354789734
1557943536.8066223,46080,1.0
1557943542.5169885,47616,1.0
1557943545.1368437,48128,1.0
1557943550.0559647,49152,1.0
1557943555.9248722,50688,1.0
1557943558.3768187,51136,1.0
1557943563.3767998,52224,1.0
1557943569.1763828,53760,1.0
1557943571.3090513,54144,1.0
1557943576.5413916,55296,1.0
1557943582.2169409,56832,1.0
1557943584.076638,57152,1.0
1557943589.579625,58368,1.0
1557943595.3066497,59904,1.0
1557943596.9513497,60160,1.0
1557943602.7960463,61440,1.0
1557943608.4769692,62976,1.0
1557943609.909872,63168,1.0
1557943616.0219462,64512,1.0
1557943621.866785,66048,1.0
1557943623.0665436,66176,1.0
1557943629.6367202,67584,1.0
1557943635.2468069,69120,1.0
1557943636.1766922,69184,1.0
1557943642.646968,70656,1.0
1557943648.322463,72192,1.0
1557943649.0372877,72192,1.0
1557943655.8297868,73728,1.0
1557943662.1467423,75200,1.0
1557943662.209066,75264,1.0
1557943669.089569,76800,1.0
1557943674.9632537,78208,1.0
1557943675.6963973,78336,1.0
1557943682.4767506,79872,1.0
1557943688.095707,81216,1.0
1557943689.5167878,81408,1.0
