Wall time,Step,Value
1557343799.7416308,1536,0.59375
1557343812.5167756,3072,0.703125
1557343815.9823673,3392,0.5324292182922363
1557343827.5079117,4608,0.78125
1557343837.7587273,6144,0.640625
1557343842.2745342,6784,0.7152122855186462
1557343848.6682851,7680,0.734375
1557343858.6786408,9216,0.828125
1557343865.1161368,10176,0.7868514060974121
1557343869.0496533,10752,0.703125
1557343878.6970642,12288,0.875
1557343887.26413,13568,0.8066037893295288
1557343889.0824463,13824,0.765625
1557343899.0249903,15360,0.796875
1557343909.0020685,16896,0.875
1557343910.0338285,16960,0.7980542182922363
1557343920.2556036,18432,0.75
1557343930.7062175,19968,0.765625
1557343934.2291467,20352,0.8443396091461182
1557343944.802743,21504,0.890625
1557343958.2969244,23040,0.90625
1557343964.8609424,23744,0.8514150977134705
1557343973.024671,24576,0.84375
1557343986.7130136,26112,0.90625
1557343996.6120448,27136,0.8879716992378235
1557344002.4534335,27648,0.84375
1557344014.2318964,29184,0.875
1557344024.5306768,30528,0.9180424809455872
1557344026.0266786,30720,0.890625
1557344037.0441263,32256,0.875
1557344047.34759,33792,0.90625
1557344048.8017051,33920,0.9156839847564697
1557344058.0569692,35328,0.96875
1557344067.8757281,36864,0.859375
1557344071.4631422,37312,0.9469339847564697
1557344078.886302,38400,0.984375
1557344088.493627,39936,0.953125
1557344094.2821586,40704,0.9454599022865295
1557344099.941033,41472,0.9375
1557344110.8059394,43008,0.9375
1557344119.7330825,44096,0.9578419923782349
1557344123.672553,44544,1.0
1557344134.2991538,46080,0.953125
1557344145.3879952,47488,0.9734669923782349
1557344146.4322045,47616,0.90625
1557344157.922495,49152,0.984375
1557344167.8120654,50688,0.9375
1557344169.6840632,50880,0.9557783007621765
1557344178.7907248,52224,0.96875
1557344191.4180894,53760,1.0
1557344195.7159219,54272,0.9731721878051758
1557344204.4056962,55296,0.984375
1557344214.5206978,56832,0.953125
1557344220.5326,57664,0.9805424809455872
1557344225.4873552,58368,0.984375
1557344235.5245311,59904,0.984375
1557344244.2811294,61056,0.9649174809455872
1557344247.2970693,61440,0.96875
1557344257.1477425,62976,1.0
1557344267.6875763,64448,0.9826061129570007
1557344267.9002404,64512,1.0
1557344278.3703842,66048,0.984375
1557344288.222588,67584,0.96875
1557344290.5164585,67840,0.9882075190544128
1557344299.7039053,69120,1.0
1557344310.6800957,70656,0.984375
1557344316.088312,71232,0.994693398475647
1557344324.2155337,72192,1.0
1557344335.1185625,73728,1.0
1557344341.9973469,74624,0.9979363083839417
1557344346.887089,75264,1.0
1557344357.5999599,76800,1.0
1557344366.5678842,78016,0.9997051954269409
1557344369.2634907,78336,1.0
1557344380.040119,79872,1.0
1557344390.667599,81408,1.0
1557344391.3108804,81408,0.9997051954269409
1557344402.5846155,82944,1.0
1557344413.20066,84480,1.0
1557344416.0771163,84800,0.9997051954269409
1557344424.9621131,86016,1.0
1557344435.5633569,87552,1.0
1557344440.710625,88192,1.0
1557344447.3868997,89088,1.0
1557344458.026061,90624,1.0
1557344465.3508313,91584,1.0
1557344469.9033284,92160,1.0
1557344481.0780642,93696,1.0
1557344490.5539567,94976,1.0
1557344492.6212757,95232,1.0
