Wall time,Step,Value
1558078820.821662,1536,0.5625
1558078826.824871,3072,0.46875
1558078833.1285696,4608,0.5
1558078839.5474377,6080,0.49194079637527466
1558078839.596309,6144,0.578125
1558078844.4370506,7680,0.796875
1558078848.9917626,9216,0.71875
1558078853.156796,10752,0.8125
1558078857.5678496,12160,0.7065789699554443
1558078857.7992306,12288,0.765625
1558078862.2732685,13824,0.765625
1558078866.6754422,15360,0.828125
1558078870.9530053,16896,0.890625
1558078874.4856193,18240,0.8269736766815186
1558078875.006226,18432,0.71875
1558078878.941637,19968,0.921875
1558078882.280491,21504,0.78125
1558078885.8282537,23040,0.8125
1558078888.9080424,24320,0.8620066046714783
1558078889.591216,24576,0.921875
1558078893.0302207,26112,0.9375
1558078896.3995166,27648,0.921875
1558078899.6701136,29184,0.90625
1558078902.5913038,30400,0.9069079160690308
1558078903.4588723,30720,0.890625
1558078906.9205718,32256,0.890625
1558078910.0841143,33792,0.984375
1558078913.3626578,35328,0.9375
1558078916.0564325,36480,0.9110197424888611
1558078916.9899044,36864,0.90625
1558078920.2572567,38400,0.921875
1558078923.5953317,39936,0.921875
1558078926.9583726,41472,0.90625
1558078929.3935266,42560,0.9347039461135864
1558078930.4955776,43008,0.96875
1558078933.642681,44544,0.96875
1558078936.6939144,46080,0.859375
1558078939.9133105,47616,0.890625
1558078942.3592129,48640,0.9379934072494507
1558078943.5440927,49152,0.984375
1558078946.5535648,50688,1.0
1558078949.6102383,52224,0.984375
1558078953.3572206,53760,1.0
1558078956.0250885,54720,0.964144766330719
1558078957.3625128,55296,0.96875
1558078960.6221242,56832,0.953125
1558078963.854489,58368,1.0
1558078966.9142337,59904,0.921875
1558078968.9645145,60800,0.956250011920929
1558078970.4096494,61440,0.96875
1558078973.4475455,62976,0.96875
1558078976.4654768,64512,0.953125
1558078979.4581876,66048,1.0
1558078981.3499234,66880,0.9684210419654846
1558078982.9730823,67584,0.984375
1558078986.0797772,69120,1.0
1558078989.071778,70656,0.953125
