Wall time,Step,Value
1558076895.1927986,1536,0.375
1558076907.0353484,3072,0.671875
1558076914.1407404,4608,0.640625
1558076920.8035493,6144,0.84375
1558076930.869846,7680,0.71875
1558076937.64932,9216,0.734375
1558076938.2816305,9216,0.5991753339767456
1558076943.8829963,10752,0.8125
1558076949.0395026,12288,0.84375
1558076956.190611,13824,0.859375
1558076964.699264,15360,0.96875
1558076969.4093919,16896,0.8125
1558076974.1414819,18432,0.953125
1558076974.514484,18432,0.8411458134651184
1558076979.4332688,19968,0.859375
1558076984.263386,21504,0.9375
1558076992.22409,23040,0.953125
1558076997.001319,24576,0.90625
1558077001.4992926,26112,0.953125
1558077005.960366,27648,0.890625
1558077006.294473,27648,0.8978949785232544
1558077014.2252703,29184,0.921875
1558077020.461597,30720,0.90625
1558077024.8219385,32256,0.9375
1558077029.2023337,33792,0.921875
1558077033.4549644,35328,0.953125
1558077038.1733494,36864,0.921875
1558077038.9273343,36864,0.9296875
1558077048.1237469,38400,1.0
1558077052.4162712,39936,0.96875
1558077056.657933,41472,0.984375
1558077060.9813738,43008,1.0
1558077065.2180457,44544,0.953125
1558077072.9474876,46080,0.96875
1558077073.3005435,46080,0.9622395634651184
1558077077.8204575,47616,0.90625
1558077081.8357215,49152,0.953125
1558077085.321404,50688,0.984375
1558077092.354663,52224,0.984375
1558077099.6501567,53760,1.0
1558077104.3376598,55296,0.921875
1558077104.634831,55296,0.9699435830116272
1558077109.1038814,56832,0.953125
1558077113.0094404,58368,1.0
1558077117.970179,59904,0.921875
1558077127.504322,61440,0.984375
1558077131.613337,62976,1.0
1558077135.5757427,64512,0.984375
1558077135.8889053,64512,0.9807942509651184
1558077140.1136105,66048,1.0
1558077144.1209877,67584,1.0
1558077150.3712778,69120,0.984375
1558077155.9393907,70656,1.0
1558077160.554053,72192,0.984375
1558077164.5962462,73728,0.984375
1558077164.8834794,73728,0.9918619990348816
1558077169.9848404,75264,0.984375
1558077178.5041227,76800,0.953125
1558077182.5084176,78336,1.0
1558077186.5216875,79872,0.984375
1558077190.5728567,81408,1.0
1558077194.526287,82944,1.0
1558077194.8224947,82944,0.9748263955116272
1558077200.3071527,84480,1.0
1558077208.5342648,86016,1.0
1558077212.1547275,87552,1.0
1558077215.890742,89088,0.984375
1558077220.2929878,90624,1.0
1558077223.9791338,92160,1.0
1558077224.2653666,92160,0.9968532919883728
1558077228.2985857,93696,1.0
1558077234.293778,95232,1.0
1558077240.1542237,96768,1.0
1558077243.9923224,98304,1.0
1558077247.8400354,99840,1.0
1558077251.6947868,101376,0.984375
1558077251.9860077,101376,0.9979383945465088
1558077256.0700896,102912,1.0
1558077260.5191944,104448,1.0
1558077264.4481409,105984,0.984375
1558077268.4075541,107520,1.0
1558077272.4168358,109056,0.96875
1558077276.4241216,110592,0.984375
1558077276.7293062,110592,0.9983723759651184
1558077281.0437708,112128,1.0
1558077285.1138895,113664,1.0
1558077289.2697783,115200,1.0
1558077293.4328864,116736,1.0
1558077297.6196933,118272,1.0
1558077302.1376488,119808,1.0
1558077302.4497793,119808,0.9991319179534912
1558077307.0176008,121344,1.0
1558077311.374917,122880,1.0
1558077315.7123213,124416,0.90625
1558077320.0826366,125952,1.0
1558077324.5127974,127488,0.984375
1558077328.932975,129024,0.953125
1558077329.2601006,129024,0.9740668535232544
1558077333.9296165,130560,0.984375
1558077338.3079119,132096,0.984375
1558077342.7530262,133632,0.984375
1558077347.1632693,135168,1.0
1558077351.6482642,136704,1.0
1558077356.1352847,138240,1.0
1558077356.4603791,138240,0.9968532919883728
1558077362.0025625,139776,1.0
1558077369.8545697,141312,1.0
1558077377.7863448,142848,1.0
1558077385.5655477,144384,1.0
1558077392.7164278,145920,1.0
1558077400.1784773,147456,1.0
1558077400.8089256,147456,1.0
1558077408.4115996,148992,1.0
1558077415.5993829,150528,1.0
1558077422.5966742,152064,1.0
1558077428.2695115,153600,1.0
1558077433.7638187,155136,1.0
1558077439.4685664,156672,1.0
1558077439.9034057,156672,0.9998915195465088
1558077446.0729127,158208,1.0
1558077451.8235357,159744,1.0
1558077457.4834375,161280,1.0
1558077462.8989246,162816,1.0
1558077468.2855248,164352,1.0
1558077473.8097558,165888,1.0
1558077474.235616,165888,1.0
1558077480.6104946,167424,1.0
1558077486.5316997,168960,1.0
1558077492.2124774,170496,1.0
1558077497.9222114,172032,1.0
1558077503.573104,173568,1.0
1558077509.3376923,175104,1.0
1558077509.7565727,175104,0.9997829794883728
1558077515.8163733,176640,1.0
1558077521.7694542,178176,1.0
1558077527.8113036,179712,1.0
1558077533.481411,181248,0.765625
1558077538.7739038,182784,0.921875
1558077544.280673,184320,0.9375
1558077544.6862712,184320,0.9562717080116272
1558077550.641828,185856,0.984375
1558077556.2662537,187392,1.0
1558077562.386017,188928,0.984375
1558077568.0489478,190464,1.0
1558077572.7290099,192000,1.0
1558077577.3768728,193536,1.0
