Wall time,Step,Value
1557143644.343877,1536,0.515625
1557143673.0020204,3072,0.59375
1557143705.9419618,4608,0.46875
1557143746.9508252,6080,0.5148026347160339
1557143747.5784326,6144,0.71875
1557143776.292195,7680,0.671875
1557143809.100731,9216,0.75
1557143841.096599,10752,0.8125
1557143889.1833246,12160,0.7965460419654846
1557143890.6053753,12288,0.703125
1557143924.307043,13824,0.828125
1557143954.7882783,15360,1.0
1557143986.6451735,16896,0.890625
1557144026.7736046,18240,0.9044407606124878
1557144028.9366148,18432,0.953125
1557144059.7453732,19968,0.859375
1557144092.9846172,21504,0.890625
1557144123.322984,23040,0.953125
1557144165.7760286,24320,0.9480262994766235
1557144169.0381408,24576,0.96875
1557144207.5754747,26112,0.953125
1557144241.8513896,27648,0.953125
1557144270.3318691,29184,1.0
1557144301.729957,30400,0.9754934310913086
1557144304.980534,30720,1.0
1557144334.8530877,32256,1.0
1557144363.8434966,33792,1.0
1557144392.5090692,35328,0.96875
1557144429.1007023,36480,0.9939144849777222
1557144433.0700002,36864,0.984375
1557144462.4574897,38400,0.9375
1557144491.2628958,39936,0.953125
1557144520.113329,41472,0.953125
1557144549.3051565,42560,0.9700657725334167
1557144553.9913733,43008,0.96875
1557144583.9581115,44544,1.0
1557144608.1230977,46080,0.984375
1557144632.1783183,47616,1.0
1557144660.7887444,48640,0.9945723414421082
1557144667.6574051,49152,1.0
1557144697.3930893,50688,1.0
1557144727.0850842,52224,1.0
1557144756.5541244,53760,1.0
1557144783.669336,54720,0.9949012994766235
1557144793.2831128,55296,1.0
1557144822.2255642,56832,1.0
1557144845.820309,58368,1.0
1557144869.337741,59904,0.984375
1557144890.0384429,60800,0.9949012994766235
1557144897.9831324,61440,1.0
1557144921.5396578,62976,1.0
1557144945.2528303,64512,1.0
1557144968.8552244,66048,1.0
1557144988.8872795,66880,0.9995065927505493
1557144997.7201936,67584,1.0
1557145021.274215,69120,1.0
1557145044.8801136,70656,1.0
1557145068.3806973,72192,1.0
1557145087.2357476,72960,1.0
1557145097.1935709,73728,1.0
1557145120.6705189,75264,1.0
1557145144.4888222,76800,1.0
1557145167.6844478,78336,1.0
1557145184.180321,79040,1.0
1557145193.971129,79872,1.0
1557145215.628194,81408,1.0
1557145239.5305302,82944,1.0
1557145266.3876839,84480,1.0
1557145289.1458058,85120,1.0
1557145303.2391036,86016,1.0
1557145326.7801309,87552,1.0
1557145352.3198075,89088,1.0
1557145375.5566475,90624,1.0
1557145390.6831837,91200,1.0
1557145403.7552135,92160,1.0
