Wall time,Step,Value
1556911750.558574,1536,0.375
1556911782.6256351,3072,0.640625
1556911816.2411287,4608,0.515625
1556911851.9220238,6144,0.75
1556911888.3621256,7680,0.71875
1556911924.6313145,9216,0.703125
1556911944.2061796,9216,0.5723741054534912
1556911976.6138499,10752,0.828125
1556912007.9909627,12288,0.765625
1556912038.377819,13824,0.828125
1556912068.8179018,15360,0.9375
1556912102.737341,16896,0.859375
1556912133.3337498,18432,0.96875
1556912148.5040271,18432,0.8221571445465088
1556912174.8329856,19968,0.828125
1556912202.6386757,21504,0.8125
1556912231.8961942,23040,0.9375
1556912260.1934528,24576,0.984375
1556912288.4909759,26112,0.90625
1556912316.2548144,27648,0.90625
1556912330.3076398,27648,0.92578125
1556912355.888893,29184,0.90625
1556912388.6730068,30720,0.96875
1556912422.5048125,32256,0.984375
1556912456.3994775,33792,0.984375
1556912490.2287657,35328,0.953125
1556912524.3083148,36864,0.9375
1556912541.5131326,36864,0.9533420205116272
1556912572.8898447,38400,0.96875
1556912607.9851968,39936,0.96875
1556912644.1285028,41472,1.0
1556912674.0405457,43008,0.984375
1556912703.6609914,44544,1.0
1556912731.9781332,46080,1.0
1556912747.6111827,46080,0.9841579794883728
1556912775.629877,47616,1.0
1556912803.7786198,49152,0.984375
1556912836.5030093,50688,0.984375
1556912864.9422188,52224,1.0
1556912895.8193893,53760,0.96875
1556912924.7234588,55296,1.0
1556912939.48797,55296,0.9803602695465088
1556912967.4593382,56832,1.0
1556912996.2103112,58368,1.0
1556913024.6926394,59904,1.0
1556913054.8527033,61440,1.0
1556913082.4956212,62976,1.0
1556913112.2015383,64512,1.0
1556913126.4212096,64512,0.9909939169883728
1556913152.2198284,66048,1.0
1556913182.7364872,67584,1.0
1556913210.19169,69120,1.0
1556913239.020972,70656,1.0
1556913267.724524,72192,1.0
1556913295.2243912,73728,1.0
1556913311.5377085,73728,0.9992404580116272
1556913337.5374894,75264,1.0
1556913365.5511982,76800,1.0
1556913395.4238808,78336,1.0
1556913423.3655574,79872,1.0
1556913454.0100696,81408,1.0
1556913482.277889,82944,1.0
1556913496.0923839,82944,0.9998915195465088
1556913523.3622804,84480,1.0
1556913550.3189952,86016,1.0
1556913578.240915,87552,1.0
1556913607.7568452,89088,0.984375
1556913634.9067948,90624,0.84375
1556913665.1893997,92160,0.90625
1556913679.1747465,92160,0.9774305820465088
1556913704.2393968,93696,0.984375
1556913734.1610224,95232,1.0
1556913761.2981749,96768,1.0
1556913791.3950114,98304,0.984375
1556913819.2080436,99840,1.0
1556913847.8815236,101376,1.0
1556913863.3289938,101376,0.9877387285232544
1556913888.6729417,102912,1.0
1556913917.5043592,104448,1.0
1556913946.8181865,105984,1.0
1556913973.8030686,107520,1.0
1556914003.3804371,109056,1.0
1556914031.4448423,110592,1.0
1556914047.0212631,110592,0.9995659589767456
1556914076.880598,112128,1.0
1556914104.8174052,113664,1.0
1556914134.0989597,115200,1.0
1556914162.1777675,116736,1.0
1556914189.8923798,118272,1.0
1556914219.489046,119808,1.0
1556914234.1304584,119808,1.0
1556914259.3962953,121344,1.0
1556914289.5209134,122880,1.0
1556914317.1150362,124416,1.0
1556914346.8355858,125952,1.0
1556914375.2710257,127488,1.0
1556914405.114538,129024,1.0
1556914419.7252452,129024,1.0
1556914446.0840502,130560,1.0
1556914476.1042476,132096,1.0
1556914504.1848958,133632,1.0
1556914533.6447616,135168,1.0
1556914563.628521,136704,1.0
1556914592.0635061,138240,1.0
1556914608.5188115,138240,1.0
1556914634.5369482,139776,1.0
1556914665.0680313,141312,1.0
1556914694.8332477,142848,1.0
1556914723.4589813,144384,1.0
1556914753.4042253,145920,1.0
1556914781.8772206,147456,1.0
1556914795.9589863,147456,1.0
1556914823.319058,148992,1.0
1556914852.3012795,150528,1.0
1556914884.0751202,152064,1.0
1556914912.7219176,153600,1.0
1556914942.747454,155136,1.0
1556914970.952944,156672,1.0
1556914985.5794997,156672,1.0
1556915013.1630745,158208,1.0
1556915040.9269683,159744,1.0
1556915069.255387,161280,1.0
1556915093.6310554,162816,1.0
1556915117.9435985,164352,1.0
1556915142.270527,165888,1.0
1556915154.8347113,165888,1.0
1556915177.5210788,167424,1.0
1556915201.9598017,168960,1.0
1556915226.5055852,170496,1.0
1556915258.4033692,172032,1.0
1556915289.2502682,173568,1.0
1556915319.8620405,175104,1.0
1556915334.9877045,175104,1.0
1556915362.2545843,176640,1.0
1556915392.4267948,178176,1.0
1556915422.657553,179712,1.0
1556915453.005901,181248,1.0
1556915483.6187506,182784,1.0
1556915513.933839,184320,1.0
1556915529.1072726,184320,1.0
1556915556.4060178,185856,0.890625
1556915586.8111649,187392,0.75
1556915616.9727848,188928,0.9375
1556915647.1584542,190464,0.96875
1556915677.5831761,192000,0.984375
1556915708.1011097,193536,0.984375
1556915723.599832,193536,0.923828125
1556915751.4907613,195072,1.0
1556915781.9122627,196608,1.0
1556915812.2089996,198144,1.0
1556915842.4741507,199680,0.984375
1556915873.8510244,201216,0.984375
1556915901.8021605,202752,0.984375
1556915914.4759412,202752,0.9906684160232544
1556915937.36344,204288,1.0
1556915962.4346306,205824,1.0
1556915987.3433754,207360,1.0
1556916012.361899,208896,1.0
1556916037.0839295,210432,1.0
1556916062.08407,211968,1.0
1556916074.8979123,211968,0.9993489384651184
1556916097.7097178,213504,1.0
1556916122.3335497,215040,1.0
1556916152.64346,216576,1.0
1556916183.052219,218112,1.0
1556916213.708137,219648,1.0
1556916244.1142197,221184,1.0
1556916259.1567178,221184,1.0
1556916286.5506966,222720,1.0
1556916316.6969047,224256,1.0
1556916346.8874292,225792,1.0
1556916377.2041621,227328,1.0
1556916407.255868,228864,1.0
1556916437.377887,230400,1.0
1556916452.6534624,230400,0.9994574785232544
1556916480.9382527,231936,0.921875
1556916510.9275854,233472,0.984375
1556916541.0344892,235008,0.984375
1556916571.3345706,236544,0.984375
1556916601.350073,238080,0.984375
1556916631.3957047,239616,0.984375
1556916646.472683,239616,0.9823133945465088
1556916673.4578114,241152,1.0
1556916703.615008,242688,1.0
1556916733.7707355,244224,1.0
1556916762.0523713,245760,1.0
1556916786.5848808,247296,1.0
1556916810.8976645,248832,1.0
1556916823.1939821,248832,0.9988064169883728
1556916845.693524,250368,1.0
1556916870.0537217,251904,1.0
1556916894.4434004,253440,1.0
1556916918.5632226,254976,1.0
1556916942.8485985,256512,1.0
1556916967.0364025,258048,1.0
1556916979.3660088,258048,0.9998915195465088
1556917001.3848994,259584,1.0
1556917026.4345863,261120,1.0
1556917057.0967844,262656,1.0
1556917088.4473844,264192,1.0
1556917118.709781,265728,1.0
1556917148.9759254,267264,1.0
1556917164.2402442,267264,1.0
1556917191.5197155,268800,1.0
1556917221.615992,270336,1.0
1556917251.8817532,271872,1.0
1556917282.0989287,273408,1.0
1556917312.2876723,274944,1.0
1556917342.5375285,276480,1.0
1556917357.8487208,276480,1.0
1556917385.2547565,278016,1.0
1556917415.3784227,279552,1.0
1556917445.597742,281088,1.0
1556917475.7393062,282624,1.0
1556917505.975874,284160,1.0
1556917536.1142633,285696,1.0
1556917551.3511186,285696,1.0
1556917578.7854905,287232,1.0
1556917608.9586277,288768,1.0
1556917639.1614075,290304,1.0
1556917664.0999625,291840,1.0
1556917689.410473,293376,1.0
1556917713.3495266,294912,1.0
1556917725.4739738,294912,1.0
1556917747.771744,296448,1.0
1556917771.8664634,297984,1.0
1556917795.8341622,299520,1.0
1556917819.6793406,301056,1.0
1556917843.8240318,302592,1.0
1556917868.2322462,304128,1.0
1556917880.4212203,304128,1.0
1556917902.4570665,305664,1.0
1556917927.8650992,307200,1.0
1556917958.5943766,308736,1.0
1556917988.8321733,310272,1.0
1556918019.130791,311808,1.0
1556918049.598403,313344,1.0
1556918064.6925755,313344,1.0
1556918092.0828254,314880,1.0
1556918122.3352797,316416,1.0
1556918152.802031,317952,1.0
1556918182.9197037,319488,1.0
1556918213.031293,321024,1.0
1556918243.5954132,322560,1.0
1556918258.7674305,322560,1.0
1556918286.1126184,324096,1.0
1556918317.2881496,325632,1.0
1556918347.7714915,327168,1.0
1556918377.7553246,328704,1.0
1556918407.8950105,330240,1.0
1556918438.2710347,331776,1.0
1556918454.2408257,331776,1.0
1556918481.7055178,333312,1.0
1556918511.9599657,334848,1.0
1556918542.1315198,336384,1.0
1556918569.1311204,337920,1.0
1556918593.756645,339456,1.0
1556918618.656457,340992,1.0
1556918631.5008252,340992,1.0
1556918654.2845242,342528,1.0
1556918678.912769,344064,1.0
1556918703.6460197,345600,1.0
1556918728.2151592,347136,1.0
1556918752.8111174,348672,1.0
1556918777.456586,350208,1.0
1556918790.1922832,350208,1.0
1556918812.691651,351744,1.0
1556918840.8505518,353280,1.0
1556918870.9896717,354816,1.0
1556918902.0512564,356352,1.0
1556918932.787496,357888,1.0
1556918963.3395026,359424,1.0
1556918978.7881312,359424,1.0
1556919006.55199,360960,1.0
1556919036.9109876,362496,1.0
1556919067.410868,364032,0.890625
1556919097.7711082,365568,0.953125
1556919128.0678985,367104,0.859375
1556919158.5968518,368640,1.0
1556919173.8326318,368640,0.9601779580116272
1556919201.3797932,370176,1.0
1556919231.7394285,371712,0.984375
1556919262.0814476,373248,1.0
1556919292.3092508,374784,1.0
1556919322.703019,376320,1.0
1556919352.9705694,377856,1.0
1556919368.224428,377856,0.9927300214767456
1556919395.7396913,379392,1.0
1556919426.176915,380928,1.0
1556919456.5531554,382464,1.0
1556919483.0985024,384000,1.0
1556919508.5838916,385536,1.0
1556919533.7228203,387072,1.0
1556919546.473553,387072,1.0
1556919569.458512,388608,1.0
1556919594.2086473,390144,1.0
1556919619.0377946,391680,1.0
1556919643.8880692,393216,1.0
1556919668.9673388,394752,1.0
1556919693.9399354,396288,1.0
1556919706.566619,396288,1.0
1556919731.254423,397824,1.0
1556919761.8490462,399360,1.0
1556919792.0678124,400896,1.0
1556919822.2988205,402432,1.0
1556919852.7556474,403968,1.0
1556919882.7542543,405504,1.0
1556919898.0980585,405504,1.0
1556919925.5989711,407040,1.0
1556919955.9123187,408576,1.0
1556919986.0686405,410112,1.0
1556920016.1671293,411648,1.0
1556920046.3898172,413184,1.0
1556920076.6759288,414720,1.0
1556920091.9737778,414720,1.0
1556920120.5834816,416256,1.0
1556920150.989957,417792,1.0
1556920181.0046532,419328,1.0
1556920211.145611,420864,1.0
1556920241.3619256,422400,1.0
1556920271.4433556,423936,1.0
1556920286.6631768,423936,1.0
1556920313.9425068,425472,1.0
1556920344.1305842,427008,1.0
1556920371.224714,428544,1.0
1556920395.475139,430080,1.0
1556920419.8334231,431616,1.0
1556920444.443732,433152,1.0
1556920456.9431179,433152,1.0
1556920479.2707753,434688,1.0
1556920503.5687003,436224,1.0
1556920528.1925557,437760,1.0
1556920552.3968353,439296,1.0
1556920576.6615388,440832,1.0
1556920600.7855842,442368,1.0
1556920613.2248075,442368,1.0
1556920639.2234678,443904,1.0
1556920669.7491975,445440,1.0
1556920700.0674427,446976,1.0
1556920731.5385506,448512,1.0
1556920761.8353503,450048,1.0
1556920792.061475,451584,1.0
1556920807.3742044,451584,1.0
1556920834.423672,453120,1.0
1556920864.6295552,454656,1.0
1556920894.910705,456192,1.0
1556920924.9890268,457728,1.0
1556920955.1139572,459264,1.0
1556920985.525508,460800,1.0
1556921000.6951196,460800,1.0
1556921028.2369752,462336,1.0
1556921058.4436326,463872,1.0
1556921088.5685327,465408,1.0
1556921118.654923,466944,1.0
1556921148.9886909,468480,1.0
1556921179.5642822,470016,1.0
1556921194.660778,470016,1.0
1556921222.1781776,471552,1.0
1556921249.4577405,473088,1.0
1556921273.7716057,474624,1.0
1556921297.94343,476160,1.0
1556921322.1633558,477696,1.0
1556921347.333741,479232,1.0
1556921359.755232,479232,1.0
1556921381.5386128,480768,1.0
1556921406.085815,482304,1.0
1556921430.272219,483840,1.0
1556921454.5836532,485376,1.0
1556921478.5869462,486912,1.0
1556921502.685804,488448,1.0
1556921514.9375558,488448,1.0
1556921541.5809247,489984,1.0
1556921571.6785393,491520,1.0
1556921602.0742226,493056,1.0
1556921632.1406817,494592,1.0
1556921662.4892476,496128,1.0
1556921692.770935,497664,1.0
1556921708.0509121,497664,1.0
1556921735.647175,499200,1.0
1556921765.8500814,500736,1.0
1556921796.6617785,502272,1.0
1556921827.0834715,503808,1.0
1556921857.1408,505344,1.0
1556921887.2530935,506880,1.0
1556921902.6765606,506880,1.0
1556921930.0831323,508416,1.0
1556921961.4120374,509952,1.0
1556921991.755775,511488,1.0
1556922022.2523808,513024,0.859375
1556922052.5994806,514560,0.953125
1556922082.966781,516096,0.96875
1556922098.1725588,516096,0.9593098759651184
1556922125.7675886,517632,0.984375
1556922154.5686948,519168,1.0
1556922179.4269006,520704,1.0
