Wall time,Step,Value
1556815275.46619,1536,0.46875
1556815301.748991,3008,0.4348404109477997
1556815302.3294363,3072,0.640625
1556815330.1923835,4608,0.453125
1556815359.5443115,6016,0.6010638475418091
1556815360.9734905,6144,0.8125
1556815390.3860877,7680,0.8125
1556815423.8010838,9024,0.7353723645210266
1556815427.8697104,9216,0.75
1556815456.5370414,10752,0.875
1556815478.6106951,12032,0.803856372833252
1556815482.1538827,12288,0.765625
1556815513.9448302,13824,0.8125
1556815543.5429811,15040,0.8726728558540344
1556815549.945852,15360,0.984375
1556815580.269734,16896,0.8125
1556815607.0347874,18048,0.879321813583374
1556815614.328277,18432,0.828125
1556815650.510465,19968,0.96875
1556815680.9528844,21056,0.9092420339584351
1556815690.661912,21504,0.96875
1556815721.0074196,23040,0.90625
1556815747.5660105,24064,0.9315159320831299
1556815759.0590553,24576,0.984375
1556815791.2749207,26112,0.921875
1556815812.1301498,27072,0.9557845592498779
1556815820.9674902,27648,0.890625
1556815845.9419825,29184,1.0
1556815862.2643182,30080,0.9724069237709045
1556815872.6805837,30720,0.984375
1556815900.8758204,32256,0.96875
1556815922.0397298,33088,0.985704779624939
1556815936.7086143,33792,1.0
1556815965.5936978,35328,1.0
1556815982.4220667,36096,0.9880319237709045
1556815998.9184897,36864,0.984375
1556816024.3852797,38400,1.0
1556816038.2912624,39104,0.9893617033958435
1556816050.385876,39936,1.0
1556816075.6333365,41472,0.984375
1556816088.6126146,42112,0.991356372833252
1556816102.8465567,43008,0.984375
1556816124.9404542,44544,0.984375
1556816135.128201,45120,0.9903590679168701
1556816151.7091599,46080,1.0
1556816174.2749987,47616,0.984375
1556816184.8543086,48128,0.9847074747085571
1556816201.8851376,49152,0.953125
1556816230.3460026,50688,1.0
1556816241.1610703,51136,0.9923537373542786
1556816263.0215936,52224,1.0
1556816286.9755151,53760,0.984375
1556816295.5122375,54144,0.9893617033958435
1556816311.9656622,55296,0.984375
1556816332.885702,56832,0.953125
1556816339.6386538,57152,0.9867021441459656
1556816357.3482203,58368,1.0
1556816381.3041787,59904,0.96875
1556816387.098767,60160,0.9820478558540344
1556816408.6320744,61440,1.0
1556816435.925621,62976,1.0
1556816442.0623696,63168,0.991356372833252
1556816464.6973808,64512,1.0
1556816496.5274804,66048,1.0
1556816500.8032563,66176,0.998670220375061
1556816522.1072671,67584,1.0
1556816547.023612,69120,1.0
1556816550.0605276,69184,0.9996675252914429
1556816571.056326,70656,1.0
1556816594.2861805,72192,1.0
1556816598.258556,72192,1.0
1556816630.0383525,73728,1.0
1556816665.3624005,75200,1.0
