Wall time,Step,Value
1558093352.9279733,1536,0.640625
1558093377.6638415,3008,0.443151593208313
1558093378.2283318,3072,0.640625
1558093399.9928045,4608,0.546875
1558093421.744996,6016,0.6725398898124695
1558093422.9088824,6144,0.78125
1558093446.1835475,7680,0.84375
1558093468.9447167,9024,0.8390957713127136
1558093471.0431056,9216,0.828125
1558093498.1686602,10752,0.875
1558093523.2846005,12032,0.894946813583374
1558093527.0186157,12288,0.890625
1558093551.491377,13824,0.9375
1558093573.2107446,15040,0.9308510422706604
1558093577.87627,15360,0.9375
1558093604.302177,16896,0.953125
1558093624.6737976,18048,0.9491356611251831
1558093630.5909734,18432,0.953125
1558093654.4323614,19968,0.96875
1558093673.188309,21056,0.9614361524581909
1558093680.4499843,21504,0.984375
1558093705.6161797,23040,1.0
1558093726.3655884,24064,0.9803856611251831
1558093735.3096757,24576,1.0
1558093760.3125482,26112,0.984375
1558093777.9523911,27072,0.9896941781044006
1558093787.5258143,27648,0.984375
1558093818.7568717,29184,1.0
1558093837.446863,30080,0.990026593208313
1558093848.708894,30720,1.0
1558093875.3419957,32256,0.984375
1558093892.4954932,33088,0.993018627166748
1558093904.1000288,33792,0.984375
1558093930.2202642,35328,1.0
1558093944.9967582,36096,0.9903590679168701
1558093957.9470983,36864,1.0
1558093982.3073952,38400,1.0
1558093996.2272484,39104,0.9960106611251831
1558094009.9286196,39936,0.921875
1558094034.8125103,41472,1.0
1558094047.2300339,42112,0.9690824747085571
1558094061.1518137,43008,0.9375
1558094084.4357436,44544,0.921875
1558094095.8532157,45120,0.9551196694374084
1558094111.5293045,46080,0.953125
1558094136.9862459,47616,1.0
1558094147.720547,48128,0.9920212626457214
1558094164.052282,49152,1.0
1558094187.6591687,50688,1.0
1558094197.086962,51136,0.9963430762290955
1558094214.3089206,52224,1.0
1558094237.243864,53760,1.0
1558094245.6454024,54144,1.0
1558094263.4647608,55296,1.0
1558094286.1570914,56832,1.0
1558094293.4944754,57152,1.0
1558094315.4527693,58368,1.0
1558094343.1647172,59904,1.0
1558094349.7520683,60160,1.0
1558094371.5458028,61440,1.0
1558094405.8680413,62976,1.0
1558094412.88528,63168,1.0
1558094439.218502,64512,1.0
1558094464.2416012,66048,1.0
1558094468.4184341,66176,1.0
1558094498.1170762,67584,1.0
1558094524.1823885,69120,1.0
1558094529.7774315,69184,1.0
1558094561.8516262,70656,1.0
1558094591.2166781,72192,1.0
1558094594.0630684,72192,1.0
1558094622.1842315,73728,1.0
1558094651.6144433,75200,1.0
1558094652.2705355,75264,1.0
1558094677.6920302,76800,1.0
1558094702.7088344,78208,1.0
1558094704.0574756,78336,1.0
1558094730.245069,79872,1.0
1558094755.2315905,81216,1.0
1558094757.402958,81408,1.0
1558094780.7169306,82944,1.0
1558094801.4891858,84224,0.9993351101875305
1558094804.4103725,84480,1.0
1558094826.7563696,86016,1.0
1558094846.4753094,87232,0.991356372833252
1558094850.6409593,87552,0.921875
1558094872.6429627,89088,0.96875
1558094891.7229035,90240,0.9890292286872864
1558094897.114305,90624,1.0
1558094919.2552118,92160,0.96875
1558094937.0979292,93248,0.9950132966041565
1558094943.3980238,93696,0.984375
1558094964.7711143,95232,1.0
1558094981.5977466,96256,0.9980053305625916
1558094988.8148065,96768,1.0
1558095010.9412093,98304,1.0
1558095027.067023,99264,1.0
1558095035.052611,99840,1.0
1558095056.5989385,101376,1.0
1558095071.5822623,102272,0.9996675252914429
1558095080.2848077,102912,1.0
1558095101.4594388,104448,1.0
1558095115.5054567,105280,1.0
1558095125.0813663,105984,1.0
1558095146.225723,107520,1.0
1558095159.0063741,108288,1.0
1558095169.31646,109056,1.0
1558095190.2738385,110592,1.0
1558095202.1203883,111296,1.0
1558095213.3238487,112128,1.0
1558095234.3311713,113664,1.0
1558095245.5358655,114304,1.0
1558095257.6453388,115200,1.0
1558095278.4575613,116736,1.0
1558095288.223161,117312,1.0
1558095300.7695422,118272,1.0
1558095321.7853298,119808,1.0
1558095331.0666683,120320,1.0
1558095344.8163931,121344,1.0
1558095365.6925206,122880,1.0
1558095374.2086365,123328,1.0
1558095387.8951864,124416,1.0
1558095408.3640745,125952,1.0
1558095416.005497,126336,1.0
1558095431.677445,127488,1.0
1558095452.5680275,129024,1.0
1558095459.2095795,129344,1.0
1558095475.0425546,130560,1.0
1558095495.2619233,132096,1.0
1558095501.0135243,132352,1.0
1558095518.2171085,133632,1.0
1558095539.250138,135168,1.0
1558095544.2347944,135360,1.0
1558095561.752209,136704,1.0
1558095582.1292384,138240,1.0
1558095586.1925957,138368,1.0
1558095605.1924472,139776,1.0
1558095626.6768181,141312,1.0
1558095629.8791926,141376,1.0
1558095649.7690296,142848,1.0
1558095670.7627106,144384,1.0
1558095673.027774,144384,1.0
1558095692.841581,145920,1.0
1558095714.7890055,147392,1.0
1558095715.460723,147456,1.0
1558095736.3612716,148992,1.0
1558095757.908927,150400,1.0
