Wall time,Step,Value
1558861036.3487654,1536,0.578125
1558861043.23455,3008,0.48304522037506104
1558861043.4768941,3072,0.40625
1558861049.189571,4608,0.6875
1558861055.437604,6016,0.6502659320831299
1558861055.9173214,6144,0.640625
1558861062.363304,7680,0.859375
1558861069.283921,9024,0.6855053305625916
1558861069.9969,9216,0.796875
1558861076.900935,10752,0.84375
1558861083.5829804,12032,0.740026593208313
1558861084.8969293,12288,0.796875
1558861092.530835,13824,0.78125
1558861100.3488092,15040,0.7915558218955994
1558861102.141347,15360,0.890625
1558861109.636453,16896,0.859375
1558861115.5725033,18048,0.8434175252914429
1558861117.7418792,18432,0.671875
1558861125.2053485,19968,0.8125
1558861130.8164084,21056,0.8600398898124695
1558861133.2528403,21504,0.90625
1558861140.6958668,23040,0.921875
1558861147.334383,24064,0.910571813583374
1558861150.0737016,24576,0.890625
1558861157.8587525,26112,0.984375
1558861162.596815,27072,0.9478058218955994
1558861165.4764655,27648,0.96875
1558861172.5030384,29184,0.953125
1558861176.901744,30080,0.964428186416626
1558861180.101314,30720,0.96875
1558861187.3582184,32256,0.96875
1558861191.568317,33088,0.9524601101875305
1558861195.0381825,33792,0.921875
1558861202.1041727,35328,1.0
1558861206.6340537,36096,0.9434840679168701
1558861210.8073907,36864,0.953125
1558861218.7537067,38400,0.890625
1558861223.0296485,39104,0.9358377456665039
1558861227.8662336,39936,1.0
1558861238.171453,41472,0.984375
1558861242.0052364,42112,0.9381648898124695
1558861246.496652,43008,1.0
1558861254.0707963,44544,1.0
1558861257.4186954,45120,0.9807180762290955
1558861262.0347686,46080,1.0
1558861268.7931564,47616,1.0
1558861272.1711454,48128,0.9903590679168701
1558861277.3945405,49152,1.0
1558861284.3211622,50688,1.0
1558861286.9387522,51136,0.9963430762290955
1558861294.6007223,52224,1.0
1558861302.7868476,53760,0.96875
1558861305.4119217,54144,0.9946808218955994
1558861311.7329514,55296,1.0
1558861318.9100022,56832,1.0
1558861321.0735507,57152,0.9993351101875305
1558861327.2146423,58368,1.0
1558861334.4861195,59904,1.0
1558861336.3596807,60160,1.0
1558861342.750371,61440,1.0
1558861350.0545628,62976,1.0
1558861351.5152345,63168,1.0
1558861358.3035269,64512,1.0
