Wall time,Step,Value
1558862341.9446065,1536,0.546875
1558862349.490347,3008,0.519946813583374
1558862349.6618872,3072,0.828125
1558862359.182992,4608,0.578125
1558862366.6788301,6016,0.6702127456665039
1558862367.0059528,6144,0.703125
1558862373.961983,7680,0.828125
1558862380.169634,9024,0.7380319237709045
1558862381.0164132,9216,0.65625
1558862387.9913597,10752,0.875
1558862393.6238365,12032,0.7606382966041565
1558862394.8800342,12288,0.84375
1558862401.5252883,13824,0.75
1558862407.3006651,15040,0.8041888475418091
1558862408.8373158,15360,0.703125
1558862415.6278074,16896,0.75
1558862421.4761965,18048,0.7952127456665039
1558862424.0362353,18432,0.875
1558862430.4630826,19968,0.875
1558862436.2278602,21056,0.868018627166748
1558862439.0496747,21504,0.90625
1558862449.1860256,23040,0.890625
1558862454.0871997,24064,0.8746675252914429
1558862456.4663973,24576,0.921875
1558862462.4396288,26112,0.921875
1558862466.7237597,27072,0.9138962626457214
1558862469.340707,27648,0.9375
1558862475.9323082,29184,0.875
1558862483.191415,30080,0.9338430762290955
1558862486.9973814,30720,0.96875
1558862494.533225,32256,0.875
1558862500.008445,33088,0.9321808218955994
1558862503.4707763,33792,0.921875
1558862509.4049213,35328,0.984375
1558862512.5626976,36096,0.9640957713127136
1558862515.4403515,36864,0.953125
1558862520.3691537,38400,0.96875
1558862523.0631444,39104,0.9614361524581909
1558862526.2878842,39936,1.0
1558862532.0323021,41472,0.96875
1558862534.8405678,42112,0.9734042286872864
1558862538.3336434,43008,0.9375
1558862544.406362,44544,1.0
1558862547.0339205,45120,0.9694148898124695
1558862551.0903976,46080,0.984375
1558862556.334459,47616,0.96875
1558862558.6524065,48128,0.9564494490623474
1558862562.9548547,49152,0.96875
1558862568.4553661,50688,0.984375
1558862570.545868,51136,0.9880319237709045
1558862574.5521052,52224,1.0
1558862580.2182827,53760,1.0
1558862582.0492878,54144,0.9960106611251831
1558862586.5296466,55296,0.984375
1558862591.9076273,56832,1.0
1558862593.4607983,57152,0.9960106611251831
1558862597.8818562,58368,1.0
1558862603.8328252,59904,0.984375
1558862605.2879517,60160,0.9946808218955994
1558862610.3759108,61440,1.0
1558862617.331931,62976,1.0
1558862619.0051684,63168,0.9993351101875305
1558862626.3754241,64512,0.984375
1558862631.7350497,66048,1.0
1558862632.6481192,66176,0.998670220375061
1558862638.3291547,67584,1.0
1558862644.3779714,69120,1.0
1558862645.039009,69184,1.0
1558862650.150667,70656,1.0
1558862655.2421935,72192,1.0
1558862655.670051,72192,1.0
1558862661.0627012,73728,1.0
1558862666.2393148,75200,0.9993351101875305
1558862666.3569994,75264,1.0
1558862672.1618,76800,1.0
1558862677.5732815,78208,0.9976728558540344
1558862677.865501,78336,1.0
1558862683.33288,79872,1.0
1558862688.5956652,81216,0.9983377456665039
1558862689.1890967,81408,1.0
1558862694.841105,82944,1.0
1558862699.581531,84224,0.9973404407501221
1558862700.530907,84480,1.0
1558862705.78381,86016,1.0
1558862710.344436,87232,0.998670220375061
1558862711.6631,87552,1.0
1558862717.3344479,89088,1.0
1558862721.8589647,90240,1.0
1558862723.383899,90624,1.0
1558862728.5280006,92160,1.0
1558862732.8770251,93248,1.0
1558862734.8413644,93696,1.0
1558862739.7723248,95232,1.0
1558862743.9070418,96256,1.0
1558862745.9065676,96768,1.0
1558862751.093792,98304,1.0
1558862754.604278,99264,1.0
1558862756.913166,99840,1.0
1558862761.9884615,101376,1.0
1558862765.3771622,102272,1.0
1558862767.7978964,102912,1.0
1558862772.8299417,104448,1.0
1558862776.0869308,105280,1.0
1558862778.8019638,105984,1.0
1558862783.9521985,107520,1.0
1558862787.3571544,108288,1.0
1558862790.1938312,109056,1.0
1558862795.4013748,110592,1.0
1558862798.25986,111296,1.0
1558862801.529971,112128,1.0
1558862806.9387167,113664,1.0
1558862809.6597998,114304,1.0
1558862812.9793293,115200,1.0
1558862818.1149452,116736,1.0
1558862820.7111154,117312,1.0
1558862824.3311825,118272,1.0
1558862829.3893743,119808,1.0
1558862831.6272898,120320,1.0
1558862835.462778,121344,1.0
1558862840.7350318,122880,1.0
1558862842.7003582,123328,1.0
1558862846.7237542,124416,1.0
1558862851.7537026,125952,1.0
1558862853.4371948,126336,1.0
1558862857.4793482,127488,1.0
1558862862.5590053,129024,1.0
1558862864.0725238,129344,1.0
1558862868.5937436,130560,1.0
1558862873.8346803,132096,1.0
1558862875.2324038,132352,1.0
1558862879.9681954,133632,1.0
1558862885.0101953,135168,1.0
1558862886.0756807,135360,1.0
1558862890.6636465,136704,1.0
1558862895.593285,138240,1.0
1558862896.465461,138368,1.0
1558862901.5254257,139776,1.0
1558862906.7142174,141312,1.0
1558862907.3781106,141376,1.0
1558862912.5725799,142848,1.0
1558862917.510691,144384,1.0
1558862918.0532365,144384,1.0
1558862927.6115735,145920,1.0
1558862936.0293994,147392,1.0
1558862936.1560624,147456,1.0
1558862944.8861783,148992,1.0
1558862950.4255238,150400,1.0
1558862950.6738605,150528,1.0
1558862956.3962271,152064,1.0
1558862962.3076992,153408,1.0
1558862963.0472894,153600,1.0
1558862969.176853,155136,1.0
1558862974.2937524,156416,1.0
1558862975.3991659,156672,1.0
1558862981.6195009,158208,1.0
1558862986.7709918,159424,1.0
1558862988.2166748,159744,1.0
1558862993.92625,161280,1.0
1558862998.6411977,162432,1.0
1558863000.371042,162816,1.0
1558863006.098178,164352,1.0
1558863010.4575417,165440,1.0
1558863012.5053163,165888,1.0
1558863018.2452276,167424,1.0
1558863022.4280574,168448,1.0
1558863024.6831832,168960,1.0
1558863030.0874548,170496,1.0
1558863033.8813097,171456,1.0
1558863036.307666,172032,1.0
1558863041.7355812,173568,1.0
1558863045.485736,174464,1.0
1558863048.9736211,175104,1.0
1558863055.2191386,176640,1.0
1558863058.6720328,177472,1.0
1558863061.6915872,178176,1.0
1558863067.1260839,179712,1.0
1558863070.1760907,180480,1.0
1558863073.5354908,181248,1.0
1558863079.3962235,182784,1.0
1558863082.5602927,183488,1.0
1558863086.032463,184320,0.96875
1558863091.4733944,185856,0.671875
1558863094.1812944,186496,0.8440824747085571
1558863097.781823,187392,0.953125
1558863103.6648648,188928,0.9375
1558863106.309429,189504,0.869348406791687
1558863110.4306612,190464,0.96875
1558863116.0105639,192000,0.921875
1558863118.4069822,192512,0.9394946694374084
1558863122.2176132,193536,1.0
1558863127.3458116,195072,1.0
1558863129.4602532,195520,0.9740691781044006
1558863133.7960978,196608,0.984375
1558863139.4748707,198144,0.984375
1558863141.3289316,198528,0.9860372543334961
1558863145.6830165,199680,1.0
1558863151.1663208,201216,1.0
1558863152.7756946,201536,0.9976728558540344
1558863157.313898,202752,1.0
1558863162.8075335,204288,1.0
1558863164.2939491,204544,0.9996675252914429
1558863169.9373198,205824,1.0
1558863175.5034637,207360,1.0
1558863176.6267033,207552,1.0
1558863181.7045822,208896,1.0
1558863187.3427637,210432,1.0
1558863188.4356363,210560,1.0
1558863194.096105,211968,1.0
1558863201.8769562,213504,1.0
1558863202.8242943,213568,1.0
1558863210.0843167,215040,1.0
1558863215.9244251,216576,1.0
1558863216.40564,216576,1.0
1558863222.2503543,218112,1.0
1558863227.8513968,219584,1.0
1558863227.97407,219648,1.0
1558863234.5136964,221184,1.0
1558863240.1787174,222592,1.0
1558863240.4230633,222720,1.0
1558863246.3820047,224256,1.0
1558863251.9183059,225600,1.0
1558863252.7009437,225792,1.0
1558863258.9196618,227328,1.0
1558863264.405904,228608,1.0
1558863265.88655,228864,1.0
1558863271.6918797,230400,1.0
1558863277.7152956,231616,1.0
1558863279.2005413,231936,1.0
1558863285.996579,233472,1.0
1558863293.7817187,234624,1.0
1558863295.471171,235008,1.0
1558863300.7823226,236544,1.0
1558863304.9228716,237632,1.0
1558863306.7072167,238080,1.0
1558863311.992578,239616,1.0
1558863315.9627264,240640,1.0
1558863318.0789783,241152,1.0
1558863323.516151,242688,1.0
1558863327.3795931,243648,1.0
1558863329.6104057,244224,1.0
1558863334.6892269,245760,1.0
1558863338.156361,246656,1.0
1558863340.764679,247296,1.0
1558863346.1764638,248832,1.0
1558863349.4817257,249664,1.0
1558863352.166029,250368,1.0
1558863357.2553585,251904,1.0
1558863360.3350184,252672,1.0
1558863363.3001707,253440,1.0
1558863368.695085,254976,1.0
1558863371.6366186,255680,1.0
1558863374.8126833,256512,1.0
1558863380.4192865,258048,1.0
1558863383.8465776,258688,1.0
1558863387.6708207,259584,1.0
1558863393.007716,261120,1.0
1558863395.6111593,261696,1.0
1558863399.1169238,262656,1.0
1558863404.345498,264192,1.0
1558863406.6035686,264704,1.0
1558863413.3947308,265728,1.0
1558863419.0768044,267264,1.0
1558863421.3070517,267712,1.0
1558863427.1461961,268800,1.0
1558863435.4834473,270336,1.0
1558863438.4093294,270720,1.0
1558863444.3237607,271872,1.0
