Wall time,Step,Value
1557162721.8660598,1536,0.890625
1557162749.365576,3072,0.984375
1557162763.8050122,3776,0.8606991767883301
1557162778.0739431,4608,0.9375
1557162804.629161,6144,0.921875
1557162832.805468,7552,0.9269067645072937
1557162834.1020012,7680,1.0
1557162859.3804097,9216,0.953125
1557162882.6303031,10752,0.921875
1557162893.9538152,11328,0.9510063529014587
1557162908.3453162,12288,0.96875
1557162935.730125,13824,0.953125
1557162962.0318668,15104,0.9745762944221497
1557162966.1049745,15360,0.953125
1557162993.5066657,16896,1.0
1557163015.6434486,18432,1.0
1557163024.8807435,18880,0.9764300584793091
1557163041.351678,19968,1.0
1557163063.5283518,21504,1.0
1557163083.606644,22656,0.9833157062530518
1557163089.9247403,23040,1.0
1557163112.6798675,24576,0.96875
1557163134.5992312,26112,1.0
1557163142.2098732,26432,0.9888771176338196
1557163159.4896474,27648,1.0
1557163181.2245045,29184,0.96875
1557163198.563123,30208,0.9872881174087524
1557163205.5604055,30720,1.0
1557163227.260355,32256,1.0
1557163249.009177,33792,1.0
1557163254.4935052,33984,0.9941737055778503
1557163273.1446104,35328,1.0
1557163294.6969583,36864,1.0
1557163310.2832627,37760,0.9941737055778503
1557163319.3081195,38400,1.0
1557163341.362123,39936,1.0
1557163362.804762,41472,0.96875
1557163366.4350514,41536,0.9957627058029175
1557163389.5312684,43008,0.984375
1557163411.7398562,44544,1.0
1557163425.122062,45312,0.9920550584793091
1557163435.8982306,46080,1.0
1557163457.5104163,47616,1.0
1557163480.7951295,49088,0.9968220591545105
1557163481.448383,49152,1.0
1557163503.2730002,50688,1.0
1557163525.0727086,52224,1.0
1557163536.7474513,52864,0.9986758232116699
1557163549.5182893,53760,1.0
1557163570.95594,55296,1.0
1557163593.7280238,56640,1.0
1557163595.624952,56832,1.0
1557163617.8714375,58368,1.0
1557163643.8788652,59904,1.0
1557163655.9834871,60416,1.0
1557163674.6734877,61440,1.0
1557163701.657304,62976,1.0
1557163726.572653,64192,1.0
1557163731.4176915,64512,1.0
1557163758.9410646,66048,1.0
1557163785.8530738,67584,1.0
1557163795.6339083,67968,1.0
1557163815.6334069,69120,1.0
1557163842.624205,70656,1.0
1557163865.0631824,71744,0.9994703531265259
1557163872.8294036,72192,1.0
1557163899.7134862,73728,1.0
1557163926.5846043,75264,1.0
1557163934.1593442,75520,0.9986758232116699
1557163956.1804352,76800,1.0
1557163983.0784795,78336,1.0
1557164002.9642842,79296,1.0
1557164013.2308173,79872,1.0
1557164040.240564,81408,1.0
1557164067.1665351,82944,1.0
1557164072.4723444,83072,1.0
1557164096.773335,84480,1.0
1557164123.924705,86016,1.0
1557164141.8587284,86848,1.0
1557164154.7522352,87552,1.0
1557164182.2825904,89088,1.0
1557164210.0403357,90624,1.0
1557164213.132068,90624,1.0
1557164239.7478673,92160,1.0
1557164261.0797997,93696,1.0
1557164273.742928,94400,0.9997351765632629
1557164285.199278,95232,1.0
1557164306.6150255,96768,1.0
1557164328.8315597,98176,1.0
1557164330.082214,98304,1.0
1557164352.1860824,99840,1.0
1557164374.763056,101376,1.0
1557164385.5811164,101952,1.0
1557164399.5427668,102912,1.0
1557164421.2806175,104448,1.0
1557164441.9034486,105728,0.9833157062530518
1557164444.5653272,105984,0.96875
1557164466.9733865,107520,0.953125
1557164488.6085079,109056,1.0
1557164497.6154184,109504,0.9578919410705566
1557164512.6142905,110592,0.984375
1557164537.5067022,112128,1.0
1557164560.7345672,113280,0.9907309412956238
1557164567.030727,113664,1.0
1557164594.3097496,115200,1.0
1557164621.167901,116736,0.984375
1557164629.8865778,117056,0.9981461763381958
1557164651.0798843,118272,1.0
1557164677.609916,119808,1.0
1557164698.6396575,120832,0.9986758232116699
1557164707.4650488,121344,1.0
1557164734.3361664,122880,1.0
1557164761.2032943,124416,1.0
1557164767.6630147,124608,0.9992055296897888
1557164791.3825624,125952,1.0
1557164818.7184372,127488,1.0
1557164837.560035,128384,1.0
1557164848.4299564,129024,1.0
1557164875.444689,130560,1.0
1557164902.411554,132096,1.0
1557164906.568433,132160,1.0
1557164932.5589046,133632,1.0
1557164959.6035578,135168,1.0
1557164976.1802132,135936,1.0
1557164989.4876142,136704,1.0
1557165016.4105937,138240,1.0
1557165045.2863493,139712,1.0
1557165045.966532,139776,1.0
1557165073.1627762,141312,1.0
1557165100.251312,142848,1.0
1557165114.595943,143488,1.0
1557165130.0904899,144384,1.0
1557165152.7369092,145920,1.0
1557165174.4967,147264,1.0
1557165176.3736787,147456,1.0
1557165198.6780143,148992,1.0
1557165220.1306238,150528,1.0
1557165230.0790162,151040,1.0
1557165244.3708148,152064,1.0
1557165266.030837,153600,1.0
1557165285.6653147,154816,1.0
1557165289.5828342,155136,1.0
1557165311.7375674,156672,1.0
1557165333.2739575,158208,1.0
1557165341.3762822,158592,1.0
1557165357.4762156,159744,1.0
1557165378.9497697,161280,1.0
1557165397.2488203,162368,1.0
1557165404.484462,162816,1.0
1557165427.3403225,164352,1.0
1557165454.9095712,165888,1.0
1557165462.5242023,166144,1.0
1557165484.772687,167424,1.0
1557165511.8402796,168960,1.0
1557165531.799884,169920,1.0
1557165541.924799,170496,1.0
1557165568.7859418,172032,1.0
1557165595.8006775,173568,1.0
1557165601.1124694,173696,1.0
1557165625.7256246,175104,1.0
1557165652.5109735,176640,0.96875
1557165670.1029115,177472,0.9962923526763916
1557165682.1985545,178176,1.0
1557165710.0310993,179712,0.953125
1557165736.288859,181248,1.0
1557165739.3227422,181248,0.9790784120559692
1557165766.082158,182784,1.0
1557165792.9802039,184320,1.0
1557165808.2862582,185024,0.9933792352676392
1557165822.792454,185856,1.0
1557165849.7463498,187392,1.0
1557165877.8042932,188800,0.9957627058029175
1557165879.1227653,188928,1.0
1557165906.6790497,190464,1.0
1557165933.5790915,192000,1.0
1557165946.7977295,192576,0.9992055296897888
1557165963.5997806,193536,1.0
1557165990.4669096,195072,1.0
1557166017.1026566,196352,1.0
1557166020.6142652,196608,1.0
1557166045.6861923,198144,1.0
1557166067.3332846,199680,1.0
1557166076.3212411,200128,1.0
1557166091.8536901,201216,1.0
1557166113.4858222,202752,1.0
1557166132.4301465,203904,1.0
1557166137.3888807,204288,1.0
1557166159.5316463,205824,1.0
1557166181.082997,207360,1.0
1557166188.2767534,207680,1.0
1557166205.2244136,208896,1.0
1557166226.7348735,210432,1.0
1557166243.6875238,211456,1.0
1557166250.8643236,211968,1.0
1557166272.5523083,213504,1.0
1557166294.6013238,215040,1.0
1557166300.084657,215232,1.0
1557166320.2736495,216576,1.0
1557166343.7747817,218112,1.0
1557166360.3653996,219008,1.0
1557166370.4027276,219648,1.0
1557166395.8865564,221184,1.0
1557166423.2772849,222720,1.0
1557166427.5518517,222784,1.0
1557166453.6669884,224256,1.0
1557166480.8951492,225792,1.0
1557166497.4718063,226560,1.0
