Wall time,Step,Value
1556636506.0703716,1536,0.53125
1556636522.220604,2496,0.5136218070983887
1556636529.7794566,3072,0.671875
1556636551.1916354,4608,0.65625
1556636558.3135996,4992,0.6626602411270142
1556636575.2169383,6144,0.8125
1556636598.2464235,7488,0.7239583134651184
1556636601.3092377,7680,0.578125
1556636626.7841432,9216,0.859375
1556636642.7532823,9984,0.8265224099159241
1556636656.6351757,10752,0.8125
1556636680.333826,12288,0.875
1556636685.3593943,12480,0.8669871687889099
1556636706.2445667,13824,0.890625
1556636726.4316103,14976,0.8577724099159241
1556636732.2460666,15360,0.921875
1556636756.100304,16896,0.859375
1556636767.0669885,17472,0.9190705418586731
1556636782.111772,18432,0.90625
1556636805.7226589,19968,1.0
1556636807.610614,19968,0.9294871687889099
1556636831.1337357,21504,0.78125
1556636848.0405426,22464,0.9471153616905212
1556636856.8041186,23040,0.96875
1556636880.4170005,24576,0.96875
1556636888.1962085,24960,0.9615384340286255
1556636906.8952231,26112,0.890625
1556636930.9060729,27456,0.9647436141967773
1556636933.2786996,27648,0.96875
1556636958.9900465,29184,1.0
1556636972.794149,29952,0.9663461446762085
1556636984.4868937,30720,0.984375
1556637008.0868096,32256,0.953125
1556637012.9837205,32448,0.9511218070983887
1556637033.62355,33792,1.0
1556637053.2131863,34944,0.9479166865348816
1556637059.0984545,35328,0.953125
1556637083.1411884,36864,0.96875
1556637094.047037,37440,0.9855769276618958
1556637108.5672243,38400,1.0
1556637132.24593,39936,1.0
1556637134.1398668,39936,0.9907852411270142
1556637157.8016193,41472,0.984375
1556637174.3643503,42432,0.9959936141967773
1556637183.0640926,43008,1.0
1556637206.9981155,44544,1.0
1556637214.701525,44928,0.9975961446762085
1556637232.3563335,46080,1.0
1556637256.8408842,47424,0.9995993375778198
1556637259.2873454,47616,1.0
1556637283.2562754,49152,1.0
1556637296.835976,49920,0.9995993375778198
1556637308.667351,50688,1.0
1556637332.4547656,52224,1.0
1556637337.2728887,52416,0.9987980723381042
1556637357.8040104,53760,1.0
1556637377.225202,54912,0.9887820482254028
1556637383.0616,55296,0.96875
1556637407.0465007,56832,1.0
1556637418.0221498,57408,0.9719551205635071
1556637432.5722573,58368,0.984375
1556637456.4574108,59904,0.984375
1556637458.3154428,59904,0.9707531929016113
1556637481.9143653,61440,1.0
1556637498.6516259,62400,0.9959936141967773
1556637507.646581,62976,1.0
1556637533.6371076,64512,1.0
1556637541.5170445,64896,0.9995993375778198
1556637559.0920668,66048,1.0
1556637581.4921885,67392,0.9995993375778198
1556637583.8738225,67584,1.0
1556637607.9604754,69120,1.0
1556637622.1215863,69888,0.9995993375778198
1556637635.5506911,70656,1.0
1556637659.503664,72192,1.0
1556637664.274911,72384,1.0
1556637684.7691298,73728,1.0
1556637704.1583025,74880,0.9995993375778198
1556637709.975749,75264,1.0
1556637734.2049823,76800,1.0
1556637745.0280569,77376,1.0
1556637760.6632617,78336,1.0
1556637784.1225548,79872,1.0
1556637785.9985383,79872,1.0
