Wall time,Step,Value
1557218725.76233,1536,0.546875
1557218747.0134811,2688,0.5215773582458496
1557218751.7828615,3072,0.59375
1557218772.1184204,4608,0.59375
1557218784.2091393,5376,0.6391369104385376
1557218794.3172119,6144,0.84375
1557218815.7528698,7680,0.703125
1557218823.2382848,8064,0.7094494104385376
1557218839.7590911,9216,0.859375
1557218862.409683,10752,0.71875
1557218864.2856636,10752,0.7473958134651184
1557218886.9630206,12288,0.703125
1557218905.9114397,13440,0.8236607313156128
1557218911.3399148,13824,0.9375
1557218934.4710386,15360,0.96875
1557218948.7667987,16128,0.8627232313156128
1557218960.6829162,16896,0.859375
1557218982.6212306,18432,0.875
1557218989.8369288,18816,0.906622052192688
1557219007.2254295,19968,0.953125
1557219029.6055932,21504,0.921875
1557219031.4566085,21504,0.9326636791229248
1557219053.621351,23040,0.9375
1557219071.8287015,24192,0.945684552192688
1557219077.260187,24576,0.984375
1557219100.0522015,26112,0.921875
1557219112.9020457,26880,0.960565447807312
1557219123.7310772,27648,0.9375
1557219145.0261104,29184,0.9375
1557219152.5590398,29568,0.9226190447807312
1557219168.9671457,30720,0.96875
1557219191.3213487,32256,0.96875
1557219193.093606,32256,0.960565447807312
1557219222.8965907,33792,0.984375
1557219244.0612407,34944,0.9828869104385376
1557219252.01079,35328,0.96875
1557219278.3297715,36864,0.96875
1557219291.5513442,37632,0.9795386791229248
1557219303.6204922,38400,1.0
1557219325.8929105,39936,0.984375
1557219333.4008284,40320,0.9944196343421936
1557219350.7340822,41472,0.96875
1557219379.2288587,43008,1.0
1557219381.1427364,43008,0.9951636791229248
1557219407.0974946,44544,1.0
1557219428.1498177,45696,0.995907723903656
1557219433.995215,46080,1.0
1557219462.8077211,47616,0.96875
1557219482.0204842,48384,0.9940476417541504
1557219498.6253746,49152,1.0
1557219527.9442036,50688,1.0
1557219536.4519093,51072,0.9947916865348816
1557219560.6811218,52224,1.0
1557219587.4455297,53760,1.0
1557219589.4312177,53760,0.999627947807312
1557219615.103521,55296,1.0
1557219633.45942,56448,1.0
1557219638.7977357,56832,1.0
1557219661.1381783,58368,1.0
1557219674.4555118,59136,1.0
1557219685.0352128,59904,1.0
1557219710.312052,61440,1.0
1557219718.8821282,61824,1.0
1557219738.9081795,62976,1.0
1557219763.311897,64512,1.0
1557219765.2058294,64512,1.0
1557219787.1064599,66048,1.0
1557219805.084369,67200,1.0
1557219810.263516,67584,1.0
1557219832.8075018,69120,1.0
1557219845.4949267,69888,1.0
1557219856.1159084,70656,1.0
1557219878.0243032,72192,1.0
1557219885.5531604,72576,1.0
1557219902.0011625,73728,1.0
1557219924.3822894,75264,1.0
1557219926.3320732,75264,1.0
1557219953.3280015,76800,1.0
1557219978.3168712,77952,1.0
1557219983.9916904,78336,1.0
1557220006.4266748,79872,1.0
1557220019.5555544,80640,1.0
1557220031.82759,81408,1.0
1557220053.819584,82944,1.0
1557220061.2247727,83328,1.0
1557220078.0737023,84480,1.0
1557220100.2015767,86016,1.0
1557220101.9927845,86016,1.0
1557220123.7186677,87552,1.0
1557220141.8651233,88704,1.0
1557220147.3474576,89088,1.0
1557220169.661764,90624,1.0
1557220182.5213661,91392,1.0
1557220193.340423,92160,1.0
1557220215.2508087,93696,1.0
